Disease Name,Stage,Treatment Type,Mode Of Action,Treatment Name,Description,Priority Level,Precautionary Guidelines
Apple Scab,Early,Biological Control,Natural Agent,potassium bicarbonate,"Foliar spray is applied at a rate of 5 kg potassium bicarbonate + 2 kg wettable sulphur, with 2-3 applications at 7–10-day intervals.",1,"Prune trees to improve air circulation and reduce humidity within the canopy. Remove all leaves dropped from the tree, and apply lime to it to enhance decomposition and reduce fungal viability."
Apple Scab,Early,Chemical Control,Contact Fungicide,"Captan 50% WP (e.g., Merpan)","This treatment is typically applied during the early stages of infection, with applications repeated every 7-10 days at a rate of 8-10 g per 5 L of water",2,"Prune trees to improve air circulation and reduce humidity within the canopy. Remove all leaves dropped from the tree, and apply lime to it to enhance decomposition and reduce fungal viability."
Apple Scab,Moderate,Chemical Control,Contact Fungicide,"Captan 50% WP (e.g., Merpan)","This treatment is typically applied during the early stages of infection, with applications repeated every 7-10 days at a rate of 8-10 g per 5 L of water",1,"Prune trees to improve air circulation and reduce humidity within the canopy. Remove all leaves dropped from the tree, and apply lime to it to enhance decomposition and reduce fungal viability."
Apple Scab,Moderate,Biological Control,Natural Agent,potassium bicarbonate,"Foliar spray is applied at a rate of 5 kg potassium bicarbonate + 2 kg wettable sulphur, with 2-3 applications at 7–10-day intervals.",2,"Prune trees to improve air circulation and reduce humidity within the canopy. Remove all leaves dropped from the tree, and apply lime to it to enhance decomposition and reduce fungal viability."
Apple Scab,Severe,Chemical,Systemic Fungicide,Azoxystrobin,"Apply at a rate of 3-7.5 grams per 5 liters of water, with applications repeated every 7-10 days during periods of infection.",1,"Prune trees to improve air circulation and reduce humidity within the canopy. Remove all leaves dropped from the tree, and apply lime to it to enhance decomposition and reduce fungal viability."
,,Control,,25% SC e.g. Ortiva,,,
,,,,,,,
,,,,,,,
Apple Black rot,Early,Biological Control,Microbial Biological Agents,beneficial bacteria (Bacillus subtilis),"Spray Bacillus subtilis (lipopeptide mix: fengycin 55% + surfactin 45%) at ≈ 250 mg a.i. or 10^8 CFU. per L of water, preventively every 7 days or immediately after rainfall.",1,Prune and destroy infected leaves and twigs to reduce inoculum sources. Ensure proper spacing and air circulation between trees to reduce leaf wetness duration.
Apple Black rot,Early,Chemical Control,Contact Fungicide,"copper-based fungicides (e.g., copper oxychloride, copper hydroxide)","Apply copper oxychloride at 0.2–0.3% or copper hydroxide at 0.15–0.2%, repeated every 7–10 days.",2,Prune and destroy infected leaves and twigs to reduce inoculum sources. Ensure proper spacing and air circulation between trees to reduce leaf wetness duration.
Apple Black rot,Moderate,Chemical Control,Contact Fungicide,"copper-based fungicides (e.g., copper oxychloride, copper hydroxide)","Apply copper oxychloride at 0.2–0.3% or copper hydroxide at 0.15–0.2%, repeated every 7–10 days.",1,Prune and destroy infected leaves and twigs to reduce inoculum sources. Ensure proper spacing and air circulation between trees to reduce leaf wetness duration.
Apple Black rot,Moderate,Biological Control,Microbial Biological Agents,beneficial bacteria (Bacillus subtilis),"Spray Bacillus subtilis (lipopeptide mix: fengycin 55% + surfactin 45%) at ≈ 250 mg a.i. or 10^8 CFU. per L of water, preventively every 7 days or immediately after rainfall.",2,Prune and destroy infected leaves and twigs to reduce inoculum sources. Ensure proper spacing and air circulation between trees to reduce leaf wetness duration.
Apple Black rot,Severe,Chemical,Systemic Fungicide,Benomyl (Benlate 50W),Spray Benomyl (Benlate 50% WP) at a rate of 0.045 g per 200 ml water with 5 µl Latron B1956 and repeat once after 7–10 days.,1,Prune and destroy infected leaves and twigs to reduce inoculum sources. Ensure proper spacing and air circulation between trees to reduce leaf wetness duration.
,,Control,,,,,
,,,,,,,
Cedar apple rust,Early,Biological Control,Natural Agent,Neem oil,Neem oil is sprayed at an approximate 0.5% concentration on leaves at disease symptom onset. Application continues until symptoms subside.,1,"Remove Eastern red cedar or juniper trees within 300 meters, prune and destroy infected leaves, and ensure proper spacing and air circulation to reduce leaf wetness duration."
,,,,,,,
Cedar apple rust,Early,Chemical Control,Contact Fungicide,Mancozeb,Apply it at a rate of 10-15 g/ 5 L of water.,2,"Remove Eastern red cedar or juniper trees within 300 meters, prune and destroy infected leaves, and ensure proper spacing and air circulation to reduce leaf wetness duration."
,,,,80% WP (e.g. Dithane M45),,,
Cedar apple rust,Moderate,Chemical Control,Contact Fungicide,Mancozeb,Apply it at a rate of 10-15 g/ 5 L of water.,1,"Remove Eastern red cedar or juniper trees within 300 meters, prune and destroy infected leaves, and ensure proper spacing and air circulation to reduce leaf wetness duration."
,,,,80% WP (e.g. Dithane M45),,,
Cedar apple rust,Moderate,Biological Control,Natural Agent,Neem oil,Neem oil is sprayed at an approximate 0.5% concentration on leaves at disease symptom onset. Application continues until symptoms subside.,2,"Remove Eastern red cedar or juniper trees within 300 meters, prune and destroy infected leaves, and ensure proper spacing and air circulation to reduce leaf wetness duration."
,,,,,,,
Cedar apple rust,Severe,Chemical,Systemic Fungicide,Cyproconazole,"Apply it at a rate of 1-2.5 g \ 5 L of water, apply it every 7-14 days.",1,"Remove Eastern red cedar or juniper trees within 300 meters, prune and destroy infected leaves, and ensure proper spacing and air circulation to reduce leaf wetness duration."
,,Control,,50% SL (e.g. Atemi),,,
,,,,,,,
Cherry Powdery mildew,Early,Biological Control,Microbial Biological Agents,beneficial bacteria (Bacillus subtilis),"Apply Bacillus subtilis at 4.3 mL/ L¯¹ water as a foliar spray on cherry leaves and fruit, repeated every 14 days and after heavy rainfall.",1,"Avoid excessive nitrogen fertilization as it promotes lush, disease-prone growth. Prune trees to improve air circulation and sunlight penetration. Remove and destroy infected leaves."
,,,,,,,
Cherry Powdery mildew,Early,Chemical Control,Contact Fungicide,sulfur-based fungicides (Sulfur,Apply (15g/5L of water) every 7-14 days.,2,"Avoid excessive nitrogen fertilization as it promotes lush, disease-prone growth. Prune trees to improve air circulation and sunlight penetration. Remove and destroy infected leaves."
,,,,"80% e.g., Sulfate)",,,
Cherry Powdery mildew,Moderate,Chemical Control,Contact Fungicide,sulfur-based fungicides (Sulfur,Apply (15g/5L of water) every 7-14 days.,1,"Avoid excessive nitrogen fertilization as it promotes lush, disease-prone growth. Prune trees to improve air circulation and sunlight penetration. Remove and destroy infected leaves."
,,,,"80% e.g., Sulfate)",,,
Cherry Powdery mildew,Moderate,Biological Control,Microbial Biological Agents,beneficial bacteria (Bacillus subtilis),"Apply Bacillus subtilis at 4.3 mL/ L¯¹ water as a foliar spray on cherry leaves and fruit, repeated every 14 days and after heavy rainfall.",2,"Avoid excessive nitrogen fertilization as it promotes lush, disease-prone growth. Prune trees to improve air circulation and sunlight penetration. Remove and destroy infected leaves."
,,,,,,,
Cherry Powdery mildew,Severe,Chemical,Systemic Fungicide,Cyproconazole,"apply it at a rate 1-2.5 g \ 5 L of water, apply it every 7-14 days.",1,"Avoid excessive nitrogen fertilization as it promotes lush, disease-prone growth. Prune trees to improve air circulation and sunlight penetration. Remove and destroy infected leaves."
,,Control,,50 %SL e.g. Atemi),,,
,,,,,,,
Maize (Corn) Cercospora leaf spot (Gray leaf spot),Early,Biological Control,Microbial Biological Agents,beneficial bacteria (Bacillus amyloliquefaciens),"The fungicide is applied at a rate of 1–2 qt per acre (≈1–2 L ha−1), diluted in 15 gallons of water per acre, with repeat applications after 14 days or following heavy rainfall.",1,"Rotate crops with non-hosts (e.g., soybeans). Avoid planting maize in the same field continuously. Optimize plant spacing to enhance airflow and reduce leaf wetness."
Maize (Corn) Cercospora leaf spot (Gray leaf spot),Early,Chemical Control,Contact Fungicide,Chlorothalonil,Apply Chlorothalonil at 0.2–0.3% as a foliar spray repeated every 7–10 days.,2,"Rotate crops with non-hosts (e.g., soybeans). Avoid planting maize in the same field continuously. Optimize plant spacing to enhance airflow and reduce leaf wetness."
Maize (Corn) Cercospora leaf spot (Gray leaf spot),Moderate,Chemical Control,Contact Fungicide,Chlorothalonil,Apply Chlorothalonil at 0.2–0.3% as a foliar spray repeated every 7–10 days.,1,"Rotate crops with non-hosts (e.g., soybeans). Avoid planting maize in the same field continuously. Optimize plant spacing to enhance airflow and reduce leaf wetness."
Maize (Corn) Cercospora leaf spot (Gray leaf spot),Moderate,Biological Control,Microbial Biological Agents,beneficial bacteria (Bacillus amyloliquefaciens),"The fungicide is applied at a rate of 1–2 qt per acre (≈1–2 L ha−1), diluted in 15 gallons of water per acre, with repeat applications after 14 days or following heavy rainfall.",2,"Rotate crops with non-hosts (e.g., soybeans). Avoid planting maize in the same field continuously. Optimize plant spacing to enhance airflow and reduce leaf wetness."
Maize (Corn) Cercospora leaf spot (Gray leaf spot),Severe,Chemical,Systemic Fungicide,Mixed (,"Spray a mixture of Carbendazim (187.5 g/ha) and Flusilazole (93.75 g/ha), repeated every 7–10 days for 2–3 applications.",1,"Rotate crops with non-hosts (e.g., soybeans). Avoid planting maize in the same field continuously. Optimize plant spacing to enhance airflow and reduce leaf wetness."
,,Control,,Carbendazim + Flusilazole),,,
,,,,,,,
Maize (Corn) Common rust,Early,Biological Control,Microbial Biological Agents,beneficial fungus (Trichoderma harzianum),Use Trichoderma harzianum conidial suspension at 10^6 spores/mL as a foliar spray applied every 10–14 days.,1,Avoid dense planting to improve airflow and reduce humidity around the levee. Remove crop residues after harvest.
Maize (Corn) Common rust,Early,Chemical Control,Contact Fungicide,Chlorothalonil,"Apply the fungicide at a rate of 1.69 kg active ingredient per hectare, repeated every 7–10 days for 3–5 applications during different growth stages.",2,Avoid dense planting to improve airflow and reduce humidity around the levee. Remove crop residues after harvest.
Maize (Corn) Common rust,Moderate,Chemical Control,Contact Fungicide,Chlorothalonil,"Apply the fungicide at a rate of 1.69 kg active ingredient per hectare, repeated every 7–10 days for 3–5 applications during different growth stages.",1,Avoid dense planting to improve airflow and reduce humidity around the levee. Remove crop residues after harvest.
Maize (Corn) Common rust,Moderate,Biological Control,Microbial Biological Agents,beneficial fungus (Trichoderma harzianum),Use Trichoderma harzianum conidial suspension at 10^6 spores/mL as a foliar spray applied every 10–14 days.,2,Avoid dense planting to improve airflow and reduce humidity around the levee. Remove crop residues after harvest.
Maize (Corn) Common rust,Severe,Chemical,Systemic Fungicide,Propiconazole,"Apply Propiconazole in two consecutive sprays at 0.12 kg a.i./ha, and sometimes followed by a third spray of mancozeb; this combination effectively suppressed disease progression.",1,Avoid dense planting to improve airflow and reduce humidity around the levee. Remove crop residues after harvest.
,,Control,,"25% EC (e.g., Tilt),",,,
,,,,Mancozeb,,,
,,,,"80% WP (e.g., Dithane M-45)",,,
,,,,,,,
Maize (Corn) Northern Leaf Blight,Early,Biological Control,Natural Agent,Neem seed extract,"Mix 10 g of neem seed powder into distilled water to a final volume of 100 mL, twice at 10-day intervals.",1,"Reduce excessive nitrogen use, remove infected plants promptly, and rotate crops with non-host species such as soybean to limit disease spread and break its cycle."
Maize (Corn) Northern Leaf Blight,Early,Chemical Control,Contact Fungicide,Mancozeb 80% WP e.g. Dithane M45,"Spray at 0.25% on leaves in two applications: the first with effectiveness lasting 5–7 days, followed by a second spray after 10 days.",2,"Reduce excessive nitrogen use, remove infected plants promptly, and rotate crops with non-host species such as soybean to limit disease spread and break its cycle."
Maize (Corn) Northern Leaf Blight,Moderate,Chemical Control,Contact Fungicide,Mancozeb,"Spray at 0.25% on leaves in two applications: the first with effectiveness lasting 5–7 days, followed by a second spray after 10 days.",1,"Reduce excessive nitrogen use, remove infected plants promptly, and rotate crops with non-host species such as soybean to limit disease spread and break its cycle."
,,,,80% WP e.g. Dithane M45,,,
